mainform;variation;count;details
poto;poto, potos, poto';2468;poto (1682), potos (785), poto' (1)
meuf;meuf, meufs, meuf', meufes, meufs';2313;meuf (1410), meufs (890), meuf' (11), meufes (1), meufs' (1)
keufs;keufs, keuf, keuf', keu-fli, keuffs, keufs', coeff', keufli;1360;keufs (1122), keuf (230), keuf' (2), keu-fli (2), keuffs (1), keufs' (1), coeff' (1), keufli (1)
biff;biff, biff', biffe, biffs, biffes;1421;biff (1260), biff' (102), biffe (34), biffs (19), biffes (6)
tess;tess, tess', tec', tèce, té-c', tèss, téc', tèc', téce, te-c', tesse, tèces, téss', 'té-c', tés-c', té-c, tece, téc, té-c's, té'ç, tè-c, tè-ce, te-c, téss, tesse', 'té-c;1307;tess (894), tess' (225), tec' (48), tèce (33), té-c' (28), tèss (18), téc' (13), tèc' (7), téce (6), te-c' (5), tesse (4), tèces (4), téss' (3), 'té-c' (3), tés-c' (2), té-c (2), tece (2), téc (2), té-c's (1), té'ç (1), tè-c (1), tè-ce (1), te-c (1), téss (1), tesse' (1), 'té-c (1)
zik;zik, 'sique, zic, 'zique, zik', zique, zic', ziks, 'zik, 'siques, 'zic, sique, 'ziques, zique', ziq, ziques, sique', zick', zig';831;zik (391), 'sique (159), zic (99), 'zique (50), zik' (37), zique (35), zic' (16), ziks (11), 'zik (9), 'siques (8), 'zic (4), sique (4), 'ziques (2), zique' (1), ziq (1), ziques (1), sique' (1), zick' (1), zig' (1)
pe-ra;pe-ra, peura, peu-ra, pera, pé-ra, péra, pper-ra, per-ra, ppe-ra, ppé-ra, peras, 'peu-ra', pe-ra', peur-ras, per-ra', 'pé-ra', pé-rra;833;pe-ra (278), peura (129), peu-ra (116), pera (81), pé-ra (77), péra (65), pper-ra (29), per-ra (23), ppe-ra (22), ppé-ra (4), peras (2), 'peu-ra' (2), pe-ra' (1), peur-ras (1), per-ra' (1), 'pé-ra' (1), pé-rra (1)
ken;ken, ken', quen', 'ken, quèn, quène, kène, 'ken', kén, que-n, quen, què-n, kéne;715;ken (671), ken' (16), quen' (6), 'ken (4), quèn (3), quène (3), kène (3), 'ken' (2), kén (2), que-n (2), quen (1), què-n (1), kéne (1)
tass';tass', tass, 'tasses, 'tasse, tasses, 'tass, tasse';722;tass' (179), tass (165), 'tasses (162), 'tasse (114), tasses (84), 'tass (14), tasse' (4)
mif;mif, mif', miff, miff', mifs, 'mif', miffs, mi-f', mi-f;668;mif (263), mif' (188), miff (173), miff' (31), mifs (4), 'mif' (3), miffs (3), mi-f' (2), mi-f (1)
renoi;renoi, renois, re-noi, re-nois, res-noi, renoi', renoie, renoirs, res-noir;662;renoi (398), renois (156), re-noi (85), re-nois (15), res-noi (4), renoi' (1), renoie (1), renoirs (1), res-noir (1)
reufs;reufs, reuf, reuf', reuf's, reufs', reu-f';631;reufs (368), reuf (240), reuf' (16), reuf's (4), reufs' (2), reu-f' (1)
re-frè;re-frè, refré, re-fré, res-frè, refrés, reufrés, re-frés, reufré, refrè, refrès, reu-fré, re-frès, res-fré, reufrès, reufrè, reu-frés, re-fre, refre, reuf-rés, reu-frè, re-frê, refres, res-frès, reufrée;625;re-frè (142), refré (83), re-fré (76), res-frè (73), refrés (59), reufrés (39), re-frés (27), reufré (25), refrè (21), refrès (14), reu-fré (12), re-frès (11), res-fré (9), reufrès (8), reufrè (8), reu-frés (6), re-fre (3), refre (3), reuf-rés (1), reu-frè (1), re-frê (1), refres (1), res-frès (1), reufrée (1)
