mainform;variation;count;details
'-c'que;'-c'que;1;
'a;'a;10;
'abdoullâh;'abdoullâh;1;
'aboulez;'aboulez;1;
'absentes;'absentes;1;
'ach';'ach';1;
'achoura;'achoura;1;
'ack;'ack;2;
'action;'action;1;
'agrandit;'agrandit;1;
'ai;'ai;9;
'aif;'aif;1;
'aight;'aight;1;
'ais-f';'ais-f';2;
'aise;'aise;1;
'al;'al;5;
'ali;'ali;1;
'allah;'allah;1;
'amar;'amar;1;
'amour;'amour;1;
'ana;'ana;6;
'anbiyas;'anbiyas;1;
'anc;'anc;1;
'ani;'ani;2;
'anonymat;'anonymat;1;
'aoules;'aoules;4;
'arrêter;'arrêter;1;
'as;'as;2;
'assagir;'assagir;1;
'asser;'asser;10;
'asy;'asy;1;
'aura;'aura;3;
'autiste;'autiste;1;
'avais;'avais;1;
'aveugle;'aveugle;3;
'avoir;'avoir;1;
'aye;'aye;2;
'azy;'azy;2;
'babs;'babs;1;
'baby;'baby;1;
'bang';'bang';1;
'bat;'bat;2;
'bats;'bats;4;
'be-ro';'be-ro';1;
'becs;'becs;1;
'bicar;'bicar;1;
'bicard;'bicard;1;
'bigfoot;'bigfoot;1;
'billet;'billet;1;
'blar;'blar;1;
'bonnes;'bonnes;1;
'bouger;'bouger;1;
'boul;'boul;1;
'bourreau';'bourreau';1;
'bout;'bout;15;
'boutin;'boutin;12;
'boy;'boy;1;
'brasser;'brasser;2;
'bre;'bre;4;
'bre-som';'bre-som';2;
'bres-som';'bres-som';1;
'brouilles;'brouilles;1;
'bum-'bum;'bum-'bum;1;
'buées;'buées;1;
'bène;'bène;1;
'bé;'bé;1;
'bécile;'bécile, 'béciles;2;'bécile (1), 'béciles (1)
'bîmé;'bîmé;1;
'bûches;'bûches;1;
'c'était;'c'était;1;
'cace;'cace;1;
'cain;'cain;1;
'cain-'cain;'cain-'cain;3;
'cain-ri';'cain-ri';2;
'caisse;'caisse;1;
'caisser;'caisser;2;
'calle';'calle';1;
'cances;'cances;1;
'card;'card;1;
'case;'case;2;
'cause;'cause;30;
'caves;'caves;2;
'caïne;'caïne;1;
'ccasonne;'ccasonne;1;
'ce;'ce;1;
'celé';'celé';1;
'cer-per';'cer-per';1;
'ch;'ch;1;
'ch'allah;'ch'allah;2;
'challah;'challah;3;
'chiré;'chiré;3;
'chirés;'chirés;1;
'chose-quel';'chose-quel';1;
'chui;'chui;1;
'ciaga;'ciaga;1;
'cke-shne';'cke-shne';1;
'cks-sti';'cks-sti';1;
'clashes';'clashes';1;
'claté;'claté;1;
'coche;'coche;3;
'comprenez;'comprenez;2;
'connais;'connais;1;
'cons';'cons';1;
'cool-al';'cool-al';1;
'cor;'cor;1;
'core;'core;2;
'coste;'coste;1;
'coste-la';'coste-la';1;
'coute;'coute;8;
'crasé;'crasé;1;
'cris;'cris;1;
'crois;'crois;2;
'cross;'cross;2;
'cs-tru';'cs-tru';1;
'culture';'culture';1;
'culé;'culé;3;
'culés;'culés;1;
'cuz;'cuz;4;
'da-'dam;'da-'dam;1;
'da-dam;'da-dam;1;
'da-s';'da-s';1;
'dal;'dal;1;
'dalle;'dalle;1;
'dam;'dam;17;
'dame;'dame;1;
dass;dass, dass', 'dass', 'das;47;dass (40), dass' (5), 'dass' (1), 'das (1)
'daves;'daves;3;
'de;'de;1;
'de-ble';'de-ble';1;
'de-mo';'de-mo';1;
'de-pro';'de-pro';1;
'de-spee';'de-spee';3;
'deh;'deh;3;
'del;'del;30;
'devraient';'devraient';1;
'di;'di;1;
'dict;'dict;1;
'dits-ban';'dits-ban';1;
'djal;'djal;1;
'dji;'dji;3;
'djis;'djis;2;
'djo;'djo;2;
'doit;'doit;1;
'don't;'don't;8;
'dosa;'dosa;3;
'dossa;'dossa;1;
'dou-mama';'dou-mama';1;
'doune;'doune;1;
'drait;'drait;1;
'dwich;'dwich;4;
'dwiches;'dwiches;1;
'déine;'déine;1;
'dép;'dép;1;
'déplace;'déplace;1;
'dés;'dés;1;
'e-ur';'e-ur';2;
'eau;'eau;1;
'eille;'eille;4;
'elle;'elle;2;
'elle';'elle';1;
'empirant;'empirant;1;
'emporte;'emporte;1;
'empêchent;'empêchent;1;
'en;'en;1;
'endors;'endors;1;
'enfer;'enfer;1;
'eng;'eng;1;
'ennui;'ennui;1;
'enregistrer;'enregistrer;1;
'ens-g';'ens-g';1;
'ensor';'ensor';1;
'entuber';'entuber';1;
'eptique;'eptique;1;
'es;'es;3;
'esprit;'esprit;1;
'espère;'espère;1;
'ess;'ess;3;
'et;'et;1;
'excuser;'excuser;1;
'facer;'facer;2;
'failli;'failli;8;
'faire;'faire;1;
'fait;'fait;3;
'fallait;'fallait;3;
'fasa;'fasa;1;
'faudrait;'faudrait;3;
'faut;'faut;29;
'façons;'façons;1;
'ferai;'ferai;1;
'ferais;'ferais;1;
'fface;'fface;1;
'ffacer;'ffacer;1;
'ffaires;'ffaires;2;
'fflelou;'fflelou;1;
'ffres-chi';'ffres-chi';2;
'fia;'fia;1;
'fiance;'fiance;6;
'ficial;'ficial;1;
'fin;'fin;16;
'fini;'fini;1;
'finir;'finir;1;
'fit;'fit;1;
'flix;'flix;1;
'foiré;'foiré;6;
'fonce;'fonce;4;
'fonce-dé';'fonce-dé';4;
'font;'font;5;
'franchir;'franchir;3;
'frite;'frite;1;
'frotte;'frotte;1;
'g;'g;5;
'gade;'gade;1;
'gaine;'gaine;2;
'gal;'gal;4;
'gard;'gard;1;
'garde;'garde;1;
'gards;'gards;1;
'garres-ba';'garres-ba';1;
'gasin;'gasin;1;
'gent;'gent;1;
'gent-'gent;'gent-'gent;2;
'gent-ar';'gent-ar';1;
'gent-gent';'gent-gent';1;
'gir;'gir;2;
'glig';'glig';1;
'glige;'glige;3;
'glish;'glish;1;
'go-fri';'go-fri';1;
'goler;'goler;1;
'gos';'gos';1;
'got;'got;1;
'gote;'gote;1;
'goth;'goth;1;
'goûte;'goûte;2;
'goûté;'goûté;1;
'gram;'gram;1;
'gue-dro';'gue-dro';1;
'guez;'guez;2;
'guez-mer';'guez-mer';1;
'guna;'guna;12;
'gée;'gée;1;
'génocide;'génocide;1;
'habitais;'habitais;1;
'heure;'heure;1;
'homme;'homme;1;
'honneur;'honneur;3;
'huître;'huître;1;
'héhé';'héhé';1;
'hématomes;'hématomes;1;
'i';'i';1;
'icha;'icha;1;
'idemmm';'idemmm';1;
'iller-bri';'iller-bri';1;
'imbécile;'imbécile;1;
'imposer;'imposer;1;
'in';'in';1;
'inimanimo;'inimanimo;3;
'inquete;'inquete;1;
'iro;'iro;4;
'isha;'isha;1;
'israel;'israel;1;
'iv;'iv;4;
'ive;'ive;2;
'j'prefere;'j'prefere;1;
'j'pète;'j'pète;1;
'j'te;'j'te;1;
'j'éclaire;'j'éclaire;1;
'j'écris;'j'écris;1;
'je;'je;1;
'jette;'jette;1;
'jure;'jure;1;
'jveux;'jveux;1;
'ka;'ka;1;
'kaï;'kaï;1;
'ke;'ke;2;
'kech;'kech;1;
'kesh;'kesh;1;
'khedma';'khedma';1;
'koro;'koro;6;
'kuzas;'kuzas;2;
'l;'l;1;
'l'aime;'l'aime;1;
'l'esquive';'l'esquive';1;
'l'instru;'l'instru;1;
'la;'la;3;
'laboratoire;'laboratoire;1;
'lah;'lah;1;
'landaise;'landaise;2;
'lante;'lante;1;
'lars;'lars;3;
'layette;'layette;2;
'le;'le;2;
'les;'les;1;
'lettes;'lettes;1;
'leur-dea';'leur-dea';1;
'leurs;'leurs;6;
'lice;'lice;3;
'lire;'lire;1;
'lita;'lita;1;
'liyah;'liyah;2;
'llahi;'llahi;1;
'llards;'llards;1;
'llars;'llars;5;
'lle;'lle;3;
'lle-ma;'lle-ma;1;
'lles-cou;'lles-cou;3;
'llu;'llu;1;
'llus;'llus;2;
'locks;'locks;1;
'lont;'lont;1;
'lope;'lope;3;
'lopes;'lopes;3;
'los;'los;4;
'loss;'loss;13;
'losses;'losses;5;
'loux-ja';'loux-ja';1;
'lume;'lume;1;
'lune;'lune;1;
'là-celui';'là-celui';1;
'm'arrive;'m'arrive;1;
'm'en;'m'en;2;
'm'ont;'m'ont;1;
'm'prend;'m'prend;1;
'ma;'ma;1;
'macy;'macy;1;
'mais;'mais;1;
'man;'man;4;
'mant;'mant;1;
'mas;'mas;1;
'masse;'masse;1;
'matique;'matique;1;
'mazing;'mazing;1;
'me-'da';'me-'da';2;
'meda';'meda';1;
'melo;'melo;1;
'ment;'ment;1;
'merci';'merci';1;
'mes-cri';'mes-cri';1;
'mettait;'mettait;1;
'mettent;'mettent;1;
'mettre;'mettre;1;
'mina;'mina;16;
'mmmh';'mmmh';1;
'monsieur;'monsieur;1;
'moon;'moon;1;
'mouv;'mouv;1;
'ms;'ms;1;
'muel-sa';'muel-sa';1;
'mé-cra';'mé-cra';1;
'n';'n';6;
'n'a;'n'a;1;
'naces-me';'naces-me';1;
'nam;'nam;1;
'nardo;'nardo;13;
'nchallah;'nchallah;1;
'ne;'ne;2;
'ner;'ner;1;
'ner-'ner;'ner-'ner;1;
'nesta';'nesta';1;
'niquer;'niquer;1;
'nnaît-co';'nnaît-co';2;
'no;'no;2;
'no-bru;'no-bru;1;
'notté;'notté;6;
'nous;'nous;1;
'nuques-nuques;'nuques-nuques;1;
'nôme;'nôme;1;
'oid;'oid;1;
'oids;'oids;1;
'ok;'ok;1;
'olymp;'olymp;1;
'omra;'omra;1;
'on;'on;6;
'ont;'ont;1;
'oster;'oster;1;
'ouaient-j';'ouaient-j';1;
'oublie;'oublie;3;
'oublier;'oublier;1;
'out';'out';1;
'ouzou;'ouzou;1;
'ouèj;'ouèj;1;
'p';'p';1;
